model,seed,train_size,test_r2,train_r2,generalization_gap
DTR,47,800,0.9566119598036962,0.9588719011506249,0.002259941346928751
DTR,47,1600,0.957160188089223,0.9620130676737747,0.004852879584551717
DTR,47,2400,0.9613032459992711,0.9537499552662537,-0.007553290733017359
DTR,47,3200,0.95701189831401,0.9549593415274542,-0.0020525567865558036
DTR,48,800,0.960523106599368,0.9802304463002199,0.019707339700851922
DTR,48,1600,0.9521183315302986,0.9680911942108774,0.015972862680578848
DTR,48,2400,0.9624025142956081,0.9574564226897753,-0.004946091605832814
DTR,48,3200,0.9622838485867801,0.9577453483977507,-0.004538500189029349
DTR,49,800,0.9160456878199742,0.9753356328014108,0.05928994498143658
DTR,49,1600,0.9288629468191903,0.9680980192376025,0.039235072418412176
DTR,49,2400,0.9303073446651906,0.9662186899442133,0.03591134527902273
DTR,49,3200,0.9340174493615155,0.9636712334721367,0.02965378411062114
DTR,50,800,0.9190626024083611,0.9834232187475964,0.06436061633923529
DTR,50,1600,0.9244140114328213,0.970266816225701,0.045852804792879676
DTR,50,2400,0.9306184107921583,0.9588189696557591,0.028200558863600733
DTR,50,3200,0.9307539707915561,0.9630301955983684,0.03227622480681236
DTR,51,800,0.9192172894562443,0.976683040152466,0.05746575069622173
DTR,51,1600,0.9353634439797681,0.9595328392992486,0.02416939531948048
DTR,51,2400,0.9409802772506424,0.9563630263477272,0.015382749097084814
DTR,51,3200,0.9413225012462254,0.957142965941795,0.015820464695569636
RF,42,800,0.9234099792316541,0.9875568301913342,0.06414685095968009
RF,42,1600,0.92624307855064,0.9859431260382393,0.05970004748759927
RF,42,2400,0.9300693038671222,0.982754950708601,0.052685646841478806
RF,42,3200,0.9298910303234244,0.9828142139318072,0.052923183608382884
RF,43,800,0.9516830120274814,0.9781928520582982,0.0265098400308168
RF,43,1600,0.9534319034177373,0.9823574968473292,0.02892559342959189
RF,43,2400,0.9586798576925858,0.9786253525089799,0.01994549481639407
RF,43,3200,0.9611508335041593,0.9784647079429231,0.017313874438763754
RF,44,800,0.9665879462988501,0.9719437213908372,0.005355775091987036
RF,44,1600,0.9672695948188466,0.9792909472508758,0.012021352432029286
RF,44,2400,0.9667027568575289,0.9793322786282317,0.012629521770702756
RF,44,3200,0.9664874847857474,0.9783913734227172,0.011903888636969784
RF,45,800,0.9335632751888904,0.9769674076067527,0.04340413241786234
RF,45,1600,0.9382808457125644,0.9829956179443242,0.04471477223175979
RF,45,2400,0.9381216270882915,0.9808864475921005,0.04276482050380903
RF,45,3200,0.9386827158577308,0.9800458893314737,0.041363173473742965
RF,46,800,0.9530312264260278,0.9822281778867709,0.02919695146074308
RF,46,1600,0.9527642095539531,0.9803059877604386,0.027541778206485512
RF,46,2400,0.950622534340082,0.9832061389520617,0.03258360461197962
RF,46,3200,0.9518105420970493,0.98117840421367,0.02936786211662068
RF,47,800,0.9616341626613321,0.975496265564455,0.013862102903122953
RF,47,1600,0.9575928049781537,0.9768302120902317,0.019237407112077998
RF,47,2400,0.9604206799974789,0.9729546879568367,0.012534007959357774
RF,47,3200,0.9637704614022863,0.974988899108389,0.011218437706102757
RF,48,800,0.9632389175193288,0.9908543597071633,0.027615442187834516
RF,48,1600,0.955638912006788,0.9930844798804478,0.037445567873659824
RF,48,2400,0.9615141376987515,0.9777479872124198,0.016233849513668352
RF,48,3200,0.9639982039321232,0.9796057316332403,0.015607527701117063
RF,49,800,0.9333775419416704,0.9818002183802306,0.04842267643856013
RF,49,1600,0.9354933608211151,0.9848413569977745,0.049347996176659414
RF,49,2400,0.9379553317496595,0.9838327941928354,0.04587746244317592
RF,49,3200,0.9397922653270963,0.9817221129783439,0.04192984765124763
RF,50,800,0.920999972798428,0.9886347172988369,0.06763474450040885
RF,50,1600,0.9236517271248148,0.9852640766760192,0.061612349551204426
RF,50,2400,0.9264342979593805,0.9811707535325638,0.054736455573183296
RF,50,3200,0.9280010203729183,0.9855372817769029,0.0575362614039846
RF,51,800,0.9420160522029738,0.978269762727884,0.03625371052491022
RF,51,1600,0.9450746522171326,0.9796058587171067,0.0345312064999741
RF,51,2400,0.9428332768812004,0.9782131446535568,0.035379867772356355
RF,51,3200,0.9469367702638583,0.9782258065313413,0.03128903626748303
SVR,42,800,0.9245615414304117,0.9693450614533965,0.0447835200229848
SVR,42,1600,0.9249008416989339,0.9660915921221217,0.04119075042318776
SVR,42,2400,0.9249546838706273,0.9615657128941648,0.03661102902353752
SVR,42,3200,0.9255236346725829,0.9574511515774274,0.03192751690484452
SVR,43,800,0.9568408023709827,0.9384969920185225,-0.018343810352460133
SVR,43,1600,0.9598005630047823,0.9488427041443751,-0.010957858860407232
SVR,43,2400,0.9608746022005186,0.9416229026830003,-0.01925169951751826
SVR,43,3200,0.9609875420445655,0.9458516508302264,-0.015135891214339114
SVR,44,800,0.9693779008744506,0.9287699397123494,-0.04060796116210119
SVR,44,1600,0.9719992936849645,0.9485446553270003,-0.02345463835796424
SVR,44,2400,0.972421732065285,0.9469977219207055,-0.025424010144579512
SVR,44,3200,0.9730025886651649,0.9457134081526511,-0.027289180512513722
SVR,45,800,0.9284350418631793,0.9464177466310818,0.017982704767902535
SVR,45,1600,0.9307692473431025,0.9560977342827587,0.02532848693965617
SVR,45,2400,0.9304544680841853,0.9548207444315364,0.024366276347351112
SVR,45,3200,0.930651243501675,0.9574563841848727,0.026805140683197615
SVR,46,800,0.9513341623581069,0.9518971851592075,0.0005630228011006544
SVR,46,1600,0.9548603237788483,0.9496323335745124,-0.005227990204335953
SVR,46,2400,0.9557367996361092,0.9538676239519716,-0.0018691756841376916
SVR,46,3200,0.9562988387516506,0.9491257246856755,-0.007173114065975095
SVR,47,800,0.960903730598948,0.9414179018981266,-0.019485828700821384
SVR,47,1600,0.9635610487686148,0.9462319612582354,-0.017329087510379426
SVR,47,2400,0.9641122898953152,0.939549776443081,-0.024562513452234147
SVR,47,3200,0.9644907084620881,0.9459520426217743,-0.018538665840313717
SVR,48,800,0.960518226884716,0.9735930997386097,0.013074872853893749
SVR,48,1600,0.9629544996609709,0.955521527568701,-0.007432972092269896
SVR,48,2400,0.9638251557611991,0.948140922097518,-0.015684233663681102
SVR,48,3200,0.9641349108789852,0.9511864124276908,-0.012948498451294421
SVR,49,800,0.9314025631654519,0.956451253084327,0.0250486899188751
SVR,49,1600,0.9330046628260608,0.9584134977386435,0.025408834912582723
SVR,49,2400,0.9331716923520725,0.9600028224374586,0.026831130085386068
SVR,49,3200,0.9332485543600506,0.9565783642023207,0.023329809842270066
SVR,50,800,0.9206846526207451,0.9735494505313376,0.05286479791059251
SVR,50,1600,0.9220445024282663,0.9652279817259765,0.04318347929771016
SVR,50,2400,0.9209155069053412,0.9533622666146611,0.03244675970931987
SVR,50,3200,0.920788604255891,0.9575523924939899,0.03676378823809889
SVR,51,800,0.9465974281620653,0.9521229351085981,0.0055255069465328654
SVR,51,1600,0.9462761200845015,0.9504564177808101,0.004180297696308677
SVR,51,2400,0.945880590249363,0.948388303079447,0.002507712830083997
SVR,51,3200,0.9460186243083808,0.9499266769061865,0.003908052597805689
XGBoost,42,800,0.9211808581764185,0.9841388674797105,0.06295800930329198
XGBoost,42,1600,0.9264025890469751,0.9756950993661576,0.04929251031918247
XGBoost,42,2400,0.9282115660687309,0.9676765417902162,0.03946497572148533
XGBoost,42,3200,0.9286303050318415,0.9642533178707754,0.035623012838933876
XGBoost,43,800,0.9378206289606402,0.9930682724135518,0.055247643452911555
XGBoost,43,1600,0.9447453050070536,0.9937485051981225,0.04900320019106896
XGBoost,43,2400,0.957947119938787,0.9550610334772146,-0.0028860864615724013
XGBoost,43,3200,0.9608644385891306,0.9739929675705793,0.013128528981448673
XGBoost,44,800,0.9630491026380092,0.9599153667358623,-0.003133735902146939
XGBoost,44,1600,0.9690463802228039,0.9604822103020662,-0.008564169920737719
XGBoost,44,2400,0.9692755851459374,0.9578452848832151,-0.011430300262722293
XGBoost,44,3200,0.9657336890783527,0.9761795473650297,0.01044585828667699
XGBoost,45,800,0.9423119838004219,0.9681789756906716,0.025866991890249658
XGBoost,45,1600,0.9401166348843845,0.9888732964635291,0.0487566615791446
XGBoost,45,2400,0.9388099848551218,0.9632501920932516,0.024440207238129785
XGBoost,45,3200,0.9391910975107672,0.96395207006699,0.024760972556222782
XGBoost,46,800,0.948991750102652,0.9774338816900809,0.02844213158742892
XGBoost,46,1600,0.9545220053021022,0.9643621750099066,0.009840169707804436
XGBoost,46,2400,0.9540377978653987,0.9658973373099264,0.011859539444527778
XGBoost,46,3200,0.956804190066358,0.9587315783591813,0.001927388292823351
XGBoost,47,800,0.9621620479824127,0.9683778154488044,0.006215767466391742
XGBoost,47,1600,0.9602668735475668,0.9611547570050589,0.0008878834574921335
XGBoost,47,2400,0.9626581645788335,0.9523201541851984,-0.010338010393635022
XGBoost,47,3200,0.9653645998433641,0.9733267753382273,0.007962175494863222
XGBoost,48,800,0.9639736006558868,0.9987657900154311,0.03479218935954431
XGBoost,48,1600,0.9581296583811493,0.9868464880139786,0.028716829632829288
XGBoost,48,2400,0.9632271446518947,0.960918965684689,-0.0023081789672056985
XGBoost,48,3200,0.9650799221922276,0.960066657812137,-0.005013264380090643
XGBoost,49,800,0.930015913230532,0.9784935845701886,0.048477671339656636
XGBoost,49,1600,0.9345451959419016,0.9734961914991193,0.038950995557217705
XGBoost,49,2400,0.9348663919390129,0.9692476305533573,0.03438123861434439
XGBoost,49,3200,0.9367173804291647,0.9640317141347408,0.02731433370557601
XGBoost,50,800,0.9209838372040607,0.9860276770044363,0.06504383980037554
XGBoost,50,1600,0.9247459203668938,0.9741426244376175,0.04939670407072361
XGBoost,50,2400,0.927424438529034,0.9633914051951141,0.035966966666080125
XGBoost,50,3200,0.9266069884553423,0.9630499999846149,0.03644301152927265
XGBoost,51,800,0.9437816281886734,0.9733796613637333,0.029598033175059935
XGBoost,51,1600,0.9479920775701262,0.9655925977635317,0.017600520193405522
XGBoost,51,2400,0.9473901115249352,0.9592402073019647,0.011850095777029446
XGBoost,51,3200,0.9483869343201743,0.9588089790270133,0.010422044706839051
